Apartment Name,Company,Location,Price,MinPrice,MaxPrice,Size,Bedrooms,MinBR,MaxBR,Description,Bathrooms,Number,Distance to Grounds,Image
14th &amp; John Streets,---,"14th &amp; John Streets, Charlottesville, VA 22903","$2,396",2396,2396,"1,383 Sqrt ft.",3,3,3,"One Left - Waived App Fees! - Venable Court - $500 Deposit and $1000 Signing Bonus!  - Great 3 bedroom apartment within walking distance to the Corner and UVA. This apartment has a large third bedroom that can easily and comfortably accommodate two people making this a great 4 person unit. Available in July 2019, this apartment includes a washer &amp; dryer, Central A/C, and hardwood flooring. Off-street parking included!",2 - 5,(434) 422-4659,0.7 miles from Grounds,//d2ov68p9vqf0gt.cloudfront.net/c76d3056e08cf01c748c1dd90b755435/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/63283061.jpg
604 15th St NW,---,"604 15th St NW, Charlottesville, VA 22903",$995,995,995,--- Sqrt ft.,2,2,2,"604 15th St. Apt. B- Available July! - Cute basement level apartment! Beautiful decorative, brick fireplace in the spacious living room. Flooring has been recently updated to a beautiful vinyl hardwood. Large, covered outdoor patio for entertaining. Plenty of parking in the private driveway. This home is a quick walk to UVA and in close proximity to the U Loop Bus stop!",1 - 5,(434) 422-4659,0.7 miles from Grounds,//dihmh4v20db76.cloudfront.net/488d2376db1236867722ddc13d2fcee6/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/71071462.jpg
"745 Walker Sq, Apt #3B",---,"745 Walker Sq, Apt #3B, Charlottesville, VA 22903","$1,400",1400,1400,900 Sqrt ft.,1,1,1,"745 Walker Square, Apt 3B - One bedroom, one bathroom unit located in the desired Walker Square Condos. Unit features modern design that includes updated kitchen, tile floors and carpet. Washer/dryer are included in the unit as well.",1 - 5,(434) 422-4659,1.1 miles from Grounds,//d1d20t9fkd7io6.cloudfront.net/8c70e61fc491a068043f94f5a5cb7a06/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/72265017.jpg
1029 Wertland Street,---,"1029 Wertland Street, Charlottesville, VA 22903","$1,775 - 2,100",1775,2100,"770 - 1,085 Sqrt ft.",2 - 3,2,3,1029 Wertland St 2 Bedroom Apartments - Free Application Fees if you sign a lease within 24 hours of your tour.  Limited time offer.  Offer valid for full-time UVA students only.   ,2 - 5,(434) 977-9000,0.9 miles from Grounds,//d1qpyd3pu6qx6u.cloudfront.net/5b3c49288c3089aa78d21af9e2680396/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/63057470.jpg
2021 Ivy Rd,---,"2021 Ivy Rd, Charlottesville, VA 22903","$1,200 - 1,800",1200,1800,950 Sqrt ft.,3,3,3,"Apartments at U-Forum Now Leasing for 2019-2020! - 3 bedroom, 2 full baths units walking distance to UVA Grounds, JPA and local restaurants. Apartments feature a combo living room/dining room, gas heat and central air. Ample parking available for no additional fee!  ",2 - 5,(434) 422-4659,0.3 miles from Grounds,//d3p7mn7jyeu9ms.cloudfront.net/88bfc392e410f46bfea6d2120d6929bc/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/72599607.jpg
64 University Way,---,"64 University Way, Charlottesville, VA 22903","$1,225",1225,1225,796 Sqrt ft.,1,1,1,64 University Way Apt 7 - Free Application Fees if you sign a lease within 24 hours of your tour.  Limited time offer.  Offer valid for full-time UVA students only.   ,1 - 5,(434) 977-9000,0.6 miles from Grounds,//d3p7mn7jyeu9ms.cloudfront.net/58daea1e68b5c24a488cf415a2f4051e/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/63056456.jpg
1109 Wertland Street,---,"1109 Wertland Street, Charlottesville, VA 22903","$1,495",1495,1495,935 Sqrt ft.,2,2,2,1109 Wertland St - Apt 01 - Free Application Fees if you sign a lease within 24 hours of your tour.  Limited time offer.  Offer valid for full-time UVA students only.   ,1 - 5,(434) 977-9000,0.8 miles from Grounds,//d3p7mn7jyeu9ms.cloudfront.net/d931c75a79317fc3246ccbf028e09e29/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/63056609.jpg
Barracks West Townhomes,---,"255 Saponi Lane, Charlottesville, VA 22901","$917 - 1,945",917,1945,"459 - 1,358 Sqrt ft.",1 - 3,1,3,"Handsome traditional brick architecture and charming features are the hallmark of Barracks West, a scenic apartment home community just minutes from the University of Virginia and Virginia\'s wine country. Located in a wooded natural setting, you\'ll enjoy coming home and pulling up a lounge chair on your patio or in the yard. Unwind by the pool or work out in the Fitness Center. Kitchens are fully-equipped and there are washer/dryer hookups in some apartments as well as on-site laundry facilities. Pets are welcome too. Call today to schedule a tour.",1 - 5,---,1.5 miles from Grounds,https://collegestudentapartments.com/img/no-image-main2.jpg
117 13th St NW,---,"117 13th St NW, Charlottesville, VA 22903",$775 - 825,775,825,--- Sqrt ft.,1,1,1,"117 13th St NW, Apt B4 - Just blocks from UVA Hospital and 1/2 Block from UVA! 3-story garden apartments with Oak Floors, sorry no undergrads. ",1 - 5,(434) 422-4659,0.7 miles from Grounds,//d2gk0uetp1q970.cloudfront.net/9e4809f22299a2e98c3681cd4c92f091/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/72331766.jpg
1115 Wertland Street,---,"1115 Wertland Street, Charlottesville, VA 22903","$1,900 - 3,400",1900,3400,"1,071 - 1,698 Sqrt ft.",2 - 4,2,4,1115 WERTLAND ST - Free Application Fees if you sign a lease within 24 hours of your tour.  Limited time offer.  Offer valid for full-time UVA students only.   ,2 - 5,(434) 977-9000,0.8 miles from Grounds,//d278sointswlfn.cloudfront.net/d134750ca4cefee77f6c3e245841eb0b/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/63056567.jpg
109 Piedmont Ave N,---,"109 Piedmont Ave N, Charlottesville, VA 22903",$975,975,975,600 Sqrt ft.,1,1,1,"109 Piedmont Ave #B - One Bedroom Available  - Nice 1BR/1BA apartment on the top floor of this home. Laundry facilities available, apartment is heated by gas. Sorry, no pets allowed. ",1 - 5,(434) 422-4659,0.8 miles from Grounds,//d15yd2pup8u1d3.cloudfront.net/999346f959a57ab78ffbff0d71fc5a09/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/71185925.jpg
1027 Wertland  Street,---,"1027 Wertland  Street, Charlottesville, VA 22903","$2,700",2700,2700,"1,270 Sqrt ft.",4,4,4,4 Bedroom Apartment - 1027 Wertland St - LAST ONE! - PRICE DROP! Now $600 / bedroom!!,2 - 5,(434) 977-9000,0.9 miles from Grounds,//d15yd2pup8u1d3.cloudfront.net/e7fd8d412c24c62154e1e749e9b066e4/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/67425710.jpg
1100 Preston Ave,---,"1100 Preston Ave, Charlottesville, VA 22903",$600,600,600,120 Sqrt ft.,---,[],[],-,0 - 5,(434) 305-2774,---,//d15yd2pup8u1d3.cloudfront.net/8b6f4d532538300ad071a89e9a318051/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/65593417.jpg
510 McIntire Road,---,"510 McIntire Road, Charlottesville, VA 22902",$800,800,800,380 Sqrt ft.,---,[],[],The Lofts at McIntire - Studio - Studio apartment at the desirable Lofts at McIntire - just steps from the Downtown Mall. Full-size kitchen with dishwasher. ,1 - 5,(434) 923-8704,1.5 miles from Grounds,//d27ql944xr9meu.cloudfront.net/20a4b84c01b53f03f01e7dc4c1f0df1d/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/72924811.jpg
113 13th St NW,---,"113 13th St NW, Charlottesville, VA 22903",$825 - 875,825,875,--- Sqrt ft.,1,1,1,"U-Quad-One Bedroom Apartments off of 13th St. &amp; 1300 Wertland! - One bedroom apartments with hardwood flooring in a great location. Within walking distance of the Corner and UVA Hospital. Sorry, no undergrads. Cats allowed, no dogs. ",1 - 5,(434) 422-4659,0.8 miles from Grounds,//d2wa2tyobqx1pp.cloudfront.net/f77053d8e4c59b79176eabe308088374/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/72328820.jpg
1801 Lambeth Lane,---,"1801 Lambeth Lane, Charlottesville, VA 22903",$950,950,950,366 Sqrt ft.,---,[],[],Lambeth Lofts - Close to the Architecture School!  - Free Application Fees if you sign a lease within 24 hours of your tour.  Limited time offer.  Offer valid for full-time UVA students only.  ,1 - 5,(434) 977-9000,0.5 miles from Grounds,//d2wa2tyobqx1pp.cloudfront.net/76509cacd6522997c81c0f9907486207/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/63056113.jpg
University Heights Apartments,---,"250 Colonnade Drive, Charlottesville, VA 22901","$855 - 1,854",855,1854,"513 - 1,696 Sqrt ft.",1 - 4,1,4,"At University Heights, we\'ve thought of everything, so you don\'t have to worry about anything. From providing facilities for living well to services that make your life easy, UHeights is the place where everything is at your fingertips. Our Charlottesville apartments offer easy access to major travel arteries, shopping, restaurants, and services. University of Virginia grounds and Darden Law School are also within walking distance.",1 - 2,(877) 893-3586,0.3 miles from Grounds,https://collegestudentapartments.com/img/no-image-main2.jpg
513 14th Street NW,---,"513 14th Street NW, Charlottesville, VA 22903","$1,995",1995,1995,936 Sqrt ft.,3,3,3,3BR New Construction! Walk to UVA Campus From Great Location! Luxury Upgrades!  - TO BE BUILT FOR 2018-2019 SCHOOL YEAR. THREE 3BR 2BA UNITS AVAILABLE!!!,2 - 5,(434) 595-3749,0.8 miles from Grounds,//d278sointswlfn.cloudfront.net/09950135e6d77b5780af4d140ee079c2/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/64142847.jpg
1107 Wertland Street,---,"1107 Wertland Street, Charlottesville, VA 22903","$1,995",1995,1995,"1,857 Sqrt ft.",2,2,2,1107 Wertland St - Apt 03 - Free Application Fees if you sign a lease within 24 hours of your tour.  Limited time offer.  Offer valid for full-time UVA students only.   ,2 - 5,(434) 977-9000,0.8 miles from Grounds,//d27ql944xr9meu.cloudfront.net/b2b9a23907145e838091e700314fa295/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/63056621.jpg
326 10th St NW,---,"326 10th St NW, Charlottesville, VA 22903","$1,300",1300,1300,616 Sqrt ft.,1,1,1,"Newly Renovated Apartment Available!  - Located conveniently near the UVA hospital and Main street this completely renovated home has the upstairs unit available immediately.  This one bedroom/one bath unit has a separate entrance, hardwood floors, ceiling fans, granite counter tops and lots of great light.",1 - 5,(434) 422-4659,---,//d3p7mn7jyeu9ms.cloudfront.net/2774713ab6a69835b27826ff59ac8ae1/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/72114126.jpg
122-124 West Market Street,---,"122-124 West Market Street, Charlottesville, VA 22902","$1,690",1690,1690,"1,500 Sqrt ft.",2,2,2,Downtown Apartment - Exposed Brick Walls -  Location: 122 W. Market Street,2 - 5,(434) 984-4517,1.6 miles from Grounds,//d278sointswlfn.cloudfront.net/0eabdc1727120a2bfa853cbc2487098f/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/71974135.jpg
901 Park Street,---,"901 Park Street, Charlottesville, VA 22901","$1,100",1100,1100,961 Sqrt ft.,2,2,2,"901 Park St-- ALL UTILITIES INCLUDED - 2 bedroom, 1 bathroom home located on Park Street. Spacious living room and kitchen and great rocking chair front porch.",1 - 5,(434) 422-4659,1.9 miles from Grounds,//d2ov68p9vqf0gt.cloudfront.net/279296eab66e1c88517a1e61bc211752/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/71917803.jpg
1103 River Ct,---,"1103 River Ct, Charlottesville, VA 22903","$1,000",1000,1000,878 Sqrt ft.,2,2,2,"1103 River Ct, Apt B - 2 bedroom, one bathroom duplex located near everything! Close to Darden Towe Park and Pen Park--Only minutes from Pantops. Hardwood floors with a private driveway. Water and sewer included in the price of the rent. Washer and dryer included in the apartment. Unit features 878 sq ft.",1 - 5,(434) 422-4659,2.7 miles from Grounds,//d3p7mn7jyeu9ms.cloudfront.net/85eca53f13822efe7410fbcc4aa53f11/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/71915458.jpg
Woodlands Of Charlottesville,---,"1720 Treetop Drive, Charlottesville, VA 22903","$1,600 - 1,975",1600,1975,"1,150 - 1,369 Sqrt ft.",2 - 3,2,3,"Beautiful, brand new two and  three bedroom, style units. Rent includes trash service, and access to the many amenities offered. Flexible lease terms are available. Undergrads restricted. Very close to 64, Wegmans, UVA Medical Center, Pantops and Downtown. ",2 - 5,---,1.9 miles from Grounds,https://collegestudentapartments.com/img/no-image-main2.jpg
North Woods at The Four Seasons,---,"2210 Clubhouse Way, Charlottesville, VA 22901","$1,200 - 3,455",1200,3455,"750 - 1,100 Sqrt ft.",1 - 3,1,3,"North Woods at the Four Seasons offers Charlottesville unique garden apartments and townhomes in a quiet park-like residential neighborhood. Take a stroll on one of our many tree-shaded walkways and enjoy the peace and tranquility of nature, or cool off from the hot Virginia sun in our sparkling swimming pool.",1 - 5,---,2 miles from Grounds,https://collegestudentapartments.com/img/no-image-main2.jpg
2204 N Berkshire Rd,---,"2204 N Berkshire Rd, Charlottesville, VA 22901",$975,975,975,800 Sqrt ft.,2,2,2,"Gardenwood Apartments  - Spacious 2 bedroom/1 bath apartments within walking distance to the new Stonefield Shopping center,  offering convenience to shopping, dining and the movie theater. Only minutes to 29N and 250 bypass.",1 - 5,(434) 422-4659,1.6 miles from Grounds,//d278sointswlfn.cloudfront.net/f97dc336d5ee56c2c08d2b6c313a9acf/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/71073851.jpg
520 East Main Street,---,"520 East Main Street, Charlottesville, VA 22902","$1,380",1380,1380,693 Sqrt ft.,1,1,1,"- Location: 520 E Main Street, Apartment #1",1 - 5,(434) 984-4517,1.7 miles from Grounds,//dihmh4v20db76.cloudfront.net/50e3b5e273c8ef09b7d2c37f2a868727/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/72329726.jpg
606 Gillespie Ave,---,"606 Gillespie Ave, Charlottesville, VA 22902","$850 - 1,595",850,1595,861 Sqrt ft.,1 - 3,1,3,"1 Bedroom Available Near Downtown! - 1 Bedroom apartment available near Downtown Charlottesville! Off Street parking available and your rent includes water, sewer and gas for the hot water heater. ",1 - 5,(434) 422-4659,2.3 miles from Grounds,//d27ql944xr9meu.cloudfront.net/47c9273093e49d2c844d8c87a161753f/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/72175296.jpg
Arden Place Apartments,---,"1810 Arden Creek Lane, Charlottesville, VA 22901","$1,252 - 1,951",1252,1951,"589 - 1,421 Sqrt ft.",1 - 3,1,3,"Arden Place is a luxury Charlottesville apartments community offering unparalleled levels of quality and service. Arden Place offers one-, two- and three-bedroom residences. But it doesn\'t stop there. You have choices. To complement your well-appointed apartment, you can choose from a variety of options that best suit your needs and lifestyle. Located off Route 29N in the center of the area\'s best shopping, dining, and entertainment, you\'ll find you have more time to spend on what is important to you. With a city enjoying the reputation as one of the most livable in the country, you\'ll soon discover a friendly community that sets its sights even higher. Surrounded by the natural beauty of the Blue Ridge Mountains, Arden Place is in the most ideal location. It\'s where you work and play.",1 - 3,---,3.2 miles from Grounds,https://collegestudentapartments.com/img/no-image-main2.jpg
Carriage Hill Apartments,---,"825 Beverley Drive, Charlottesville, VA 22911","$1,200 - 1,990",1200,1990,"831 - 1,627 Sqrt ft.",1 - 3,1,3,"Voted Favorite Place to live by 2018 Daily Progress Readers (2nd) and Ellis Award for Customer Service! Amazing Location in Charlotteville, VA- Come in or Schedule a tour today!  You deserve a home you will be proud of...a lifestyle of ease, convenience, and leisure. Enjoy luxury amenities, modern style, and elegant charm surrounded by spectacular mountain views! Carriage Hill Apartment Homes were designed to offer the quiet, spaciousness, and privacy you have come to expect in a single family home, while providing all the professional services you want in an apartment community. Our homes are large and encompass up to 1,627 sq. ft. of living space in which to enjoy mountain views. Carriage Hill offers a complete package of amenities for today\'s lifestyle. You will notice you are not in your standard ""community"" as soon as you enter Carriage Hill.",1 - 2,---,3.1 miles from Grounds,https://collegestudentapartments.com/img/no-image-main2.jpg
2315-17 N. Berkshire Road,---,"2315-17 N. Berkshire Road, Charlottesville, VA 22901","$1,295",1295,1295,"1,280 Sqrt ft.",3,3,3,"2317 North Berkshire - Ideally situated 3 bedroom with 1 full bathroom and 2 half baths, including one in master bedroom.  The unit includes a washer/dryer and dishwasher.  Centrally located with easy access to Route 29 and the 250 bypass.  Walking distance to Stonefield Shopping Center. Rent excludes a $35 monthly water fee that is to be reconciled each year based on usage.",2 - 5,(434) 295-4663,1.7 miles from Grounds,//d1d20t9fkd7io6.cloudfront.net/5e07f1c7b9589d8ebcac9804b88dc007/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/72818073.jpg
The Reserve At Belvedere,---,"200 Reserve Boulevard, Charlottesville, VA 22901","$1,350 - 2,180",1350,2180,"805 - 1,655 Sqrt ft.",1 - 3,1,3,"Voted 2018 Favorite Place to Live by Daily Progress Readers in Charlottesville, VA - Come in today or Schedule at tour today!  The Reserve at Belvedere takes you to your own peaceful oasis. We invite you to discover the art of luxury living by experiencing an amazing community nestled in natural surroundings offering the perfect balance of carefree living, comfort, and excitement. The Reserve at Belvedere is conveniently located in the Belvedere community which offers: high-end custom homes, walking trails, spectacular mountain views, minutes from shopping, fine dining, and Downtown Charlottesville. Enjoy natural surroundings, professionally manicured lawns, park with fountain, plethora of amenities, social events coupled with a lavish home. You will feel as if you are on vacation as you indulge in the elegance of the grand clubhouse, enjoy a round of golf, rafting or even a picnic by the river, all within a short distance of the community. When it is time to conduct some business or study, take the short walk to the clubhouse and utilize the business study center. Whether you are looking for a place to entertain, meet new friends or just relax, we have the amenities to complement any lifestyle.",1 - 5,---,3 miles from Grounds,https://collegestudentapartments.com/img/no-image-main2.jpg
2206 N Berkshire Rd,---,"2206 N Berkshire Rd, Charlottesville, VA 22901",$900 - 975,900,975,600 - 800 Sqrt ft.,1 - 2,1,2,"Lynnhaven Apartments - 2 bedroom one bath apartment, close to the new Stonefield Shopping Center.   Ample parking and laundry on site.",1 - 5,(434) 422-4659,1.6 miles from Grounds,//d278sointswlfn.cloudfront.net/564a115999494e7fe26db45a9ae650ec/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/72269922.jpg
City Walk Apartments,---,"1111 E Water Street, Charlottesville, VA 22902","$1,270 - 1,955",1270,1955,"597 - 1,232 Sqrt ft.",1 - 2,1,2,"Ideally located near the Historic Downtown Mall in Charlottesville, City Walk is urban living redesigned. Distinct and modern, our luxury apartment homes will bring convenience straight to your doorstep. Whether you love shopping, entertainment, dining or just city living, City Walk puts you in the middle of it all. City Walk offers a variety of spacious one and two bedroom apartment homes exquisitely designed to enhance your comfort and personal lifestyle. Every detail and every finish has been carefully selected to celebrate a contemporary style and sophistication. Come and relax by our resort style saltwater pool or spend time in our beautifully landscaped courtyards reading, grilling or just enjoying casual conversation by the outdoor fireplace. When you want to come inside, enjoy the resident clubroom where you can lounge with friends or play billiards while watching your favorite sports or shows. You will also have access to many other conveniences, including our 24/7 fitness ...",1 - 2,---,1.9 miles from Grounds,https://collegestudentapartments.com/img/no-image-main2.jpg
Golf Drive,---,"Golf Drive, Crozet, VA 22932","$1,200 - 2,800",1200,2800,"820 - 2,130 Sqrt ft.",1 - 3,1,3,Old Trail Village Apartments-Three Bedrooms Available!  - *Gorgeous 3 bedroom units!!,0 - 5,(434) 971-1600,9.6 miles from Grounds,//d1d20t9fkd7io6.cloudfront.net/af058f39e4f4bc6c6fec4567976e15b8/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/71268184.jpg
The Meadows,---,"2200 Angus Road, Charlottesville, VA 22901",$850 - 950,850,950,470 - 475 Sqrt ft.,1,1,1,"The Meadows Apartment Homes is a community offering a great residential environment nestled in the beautiful city of Charlottesville with upscale amenities and excellent customer service for our residents. We offer one bedroom garden apartments and studio apartments that are sure to please even the most selective tastes. Welcome home to The Meadows Apartment Homes, where you live in luxury without breaking the budget.",1,---,1.5 miles from Grounds,https://collegestudentapartments.com/img/no-image-main2.jpg
300 4th Street SE,---,"300 4th Street SE, Charlottesville, VA 22902","$1,510 - 1,635",1510,1635,"962 - 1,125 Sqrt ft.",1 - 2,1,2,"The Crossbuck - 1st Floor huge 1 BR Flat, 16\' ceilings, clay tile wall, exposed beams, 2 huge closets, Storefront entrances",1 - 5,(434) 220-8061,1.7 miles from Grounds,//dihmh4v20db76.cloudfront.net/ef8c081600cff09c5f0da017f4cd4efe/158x158xcrop_middle/95/https/s3.amazonaws.com/csa/r=102/jpg/photos.rentlinx.com/L1680/71700947.jpg
Stonefield Commons,---,"3105 District Avenue, Charlottesville, VA 22901","$1,458 - 3,353",1458,3353,"628 - 1,413 Sqrt ft.",1 - 3,1,3,"Discover luxury at Stonefield Commons apartment homes located in Charlottesville, Virginia. A National Home Builders Association Certified community, this incredible locations offers easy to access I-64, Richmond Road and Hydraulic Road.  Shopping, dining and entertainment are all a short drive away.  Find the perfect one, two and three bedroom apartments featuring 9-foot vaulted ceilings, private detached garages, screened-in balconies, large kitchens with granite countertops and in-home washer or dryer connections. Sweat it out in our 24-hour fitness and cardio center, then relax in our large sparkling saline pool with sundeck.  Enjoy a feast at the poolside grilling cabanas or host meetings in our business center.",1 - 2,---,2 miles from Grounds,https://collegestudentapartments.com/img/no-image-main2.jpg
